Gene_name	Group	type
Tfrc	Iron Metabolism	POS
Phkg2	Iron Metabolism	POS
Ireb2	Iron Metabolism	POS
Hmox1-1	Iron Metabolism	POS
Ncoa4	Iron Metabolism	POS
Aco1	Iron Metabolism	POS
Steap3	Iron Metabolism	POS
Acsf2	Lipid Metabolism	POS
Cs	Lipid Metabolism	POS
Lpcat3	Lipid Metabolism	POS
Acsl4	Lipid Metabolism	POS
Acaca	Lipid Metabolism	POS
Alox12	Lipid Metabolism	POS
Pebp1	Lipid Metabolism	POS
Zeb1	Lipid Metabolism	POS
Fdft1	Lipid Metabolism	POS
Hmgcr	Lipid Metabolism	POS
Fads2	Lipid Metabolism	POS
Hmox1-2	(Anti)oxidant Metabolism	POS
Cars	(Anti)oxidant Metabolism	POS
Nox1	(Anti)oxidant Metabolism	POS
Dpp4	(Anti)oxidant Metabolism	POS
Abcc1	(Anti)oxidant Metabolism	POS
Ptgs2	(Anti)oxidant Metabolism	POS
Sat1	(Anti)oxidant Metabolism	POS
Trp53	(Anti)oxidant Metabolism	POS
Por	(Anti)oxidant Metabolism	POS
Slc1a5	Energy Metabolism	POS
Gls2	Energy Metabolism	POS
Got1	Energy Metabolism	POS
G6pdx	Energy Metabolism	POS
Pgd	Energy Metabolism	POS
Atp5g3	Energy Metabolism	POS
Il6	Cytokines	POS
Tgfb1	Cytokines	POS
Cisd1	Iron Metabolism	NEG
Fth1	Iron Metabolism	NEG
Fancd2	Iron Metabolism	NEG
Nfs1	Iron Metabolism	NEG
Hspb1	Iron Metabolism	NEG
Acsl3	Lipid Metabolism	NEG
Gpx4	Lipid Metabolism	NEG
Aifm2	Lipid Metabolism	NEG
Nfe2l2	(Anti)oxidant Metabolism	NEG
Keap1	(Anti)oxidant Metabolism	NEG
Nqo1	(Anti)oxidant Metabolism	NEG
Slc7a11	(Anti)oxidant Metabolism	NEG
Gclc	(Anti)oxidant Metabolism	NEG
Cbs	(Anti)oxidant Metabolism	NEG
Cd44	(Anti)oxidant Metabolism	NEG
Gss	(Anti)oxidant Metabolism	NEG
Tnf	Cytokines	NEG
