Gene_name	C0	C9	C10	C2	C3	C4	C5	C6	C7	Gene_name	Group	type
Tfrc	0.038932802	0.079993454	0.040628691	0.029185111	0.085823025	0.084834633	0.078279298	0.046518391	0.04123118	Tfrc	Iron Metabolism	POS
Ireb2	0.171679837	0.104815297	0.179913098	0.148634305	0.183079532	0.14496273	0.173700098	0.159694453	0.152331818	Ireb2	Iron Metabolism	POS
Steap3	1.234897202	1.137843169	1.467723366	1.686103238	0.621396579	0.763598302	0.577456646	1.400474081	0.656636269	Steap3	Iron Metabolism	POS
Phkg2	0.14354768	0.129827265	0.250799175	0.15655967	0.104952487	0.115919644	0.125691443	0.153254278	0.111035152	Phkg2	Iron Metabolism	POS
Ncoa4	0.010348523	0.007771451	0.038539214	0.009820057	0.017406306	0.009113332	0.011430701	0.016548165	0.011171847	Ncoa4	Iron Metabolism	POS
Acaca	0.130322622	0.173183273	0.088891981	0.090355172	0.107490187	0.09911035	0.086007615	0.142126113	0.101366797	Acaca	Lipid Metabolism	POS
Fads2	0.045652983	0.038189492	0.02068212	0.018624446	0.016973367	0.011445304	0.016376985	0.009771109	0.003290457	Fads2	Lipid Metabolism	POS
Acsf2	0.096184303	0.078599761	0.269974174	0.078987977	0.033716837	0.033659968	0.044240581	0.054261959	0.022241788	Acsf2	Lipid Metabolism	POS
Alox12	0.028137592	0.110739774	0.100804634	0.0601678	0.071130618	0.031000608	0.086062753	0.027068098	0.026295875	Alox12	Lipid Metabolism	POS
Zeb1	0.633651391	0.795899346	0.714904138	0.686373826	0.607298314	0.689433928	0.761371355	0.667279536	0.425431307	Zeb1	Lipid Metabolism	POS
Pebp1	3.608552242	3.931213924	4.101338036	3.304781066	4.236462584	3.835094025	4.194348761	3.694119036	3.884658935	Pebp1	Lipid Metabolism	POS
Lpcat3	0.319889534	0.196246115	0.117646767	0.255258787	0.218244299	0.253557105	0.285081421	0.311876939	0.38187513	Lpcat3	Lipid Metabolism	POS
Acsl4	0.42590658	0.320018086	0.062789831	0.277797821	0.511704492	0.58298451	0.486956274	0.540124408	0.949279486	Acsl4	Lipid Metabolism	POS
Fdft1	0.143109453	0.096234059	0.026011188	0.097819717	0.156824674	0.112218618	0.147434303	0.089293279	0.070085795	Fdft1	Lipid Metabolism	POS
Hmgcr	0.208649298	0.338598211	0.057931849	0.139513337	0.187182328	0.223254164	0.284302621	0.151363748	0.169159856	Hmgcr	Lipid Metabolism	POS
Ptgs2	2.413214606	3.71544112	0.492770495	0.96977217	1.847143791	7.963114301	2.60304352	1.49500755	0.818412576	Ptgs2	(Anti)oxidant Metabolism	POS
Cars	0.193055846	0.243062646	0.313758823	0.224686637	0.382391705	0.263890857	0.355211113	0.216714573	0.206152862	Cars	(Anti)oxidant Metabolism	POS
Trp53	0.749139323	0.812554689	0.721049724	0.572849213	1.055594847	0.70560517	0.854845832	0.740615226	0.611090079	Trp53	(Anti)oxidant Metabolism	POS
Sat1	1.45448472	3.808129628	3.075926277	2.531052613	1.416677102	1.96972457	2.074760378	2.147159563	2.558288294	Sat1	(Anti)oxidant Metabolism	POS
Abcc1	0.080683309	0.098827944	0.159143166	0.167403515	0.149187452	0.14002767	0.109172677	0.148164865	0.187295782	Abcc1	(Anti)oxidant Metabolism	POS
Dpp4	0.002425282	0.016667821	0.148261355	0.312185667	0.027126412	0.004853682	0.013403604	0.002674184	0.002676625	Dpp4	(Anti)oxidant Metabolism	POS
Por	0.236785591	0.11422683	0.319297399	0.351093006	0.261214657	0.278679419	0.208393223	0.229833627	0.178974349	Por	(Anti)oxidant Metabolism	POS
Fth1	74.7178975	37.22164746	67.2396608	80.51267785	73.52637684	113.828647	97.26424187	149.2147036	130.7584976	Fth1	Iron Metabolism	NEG
Hspb1	12.79016801	14.49580746	15.88265334	18.2814634	13.70174111	18.14475226	15.77089968	22.85247993	14.64346499	Hspb1	Iron Metabolism	NEG
Fancd2	0.003382687	0	0	0	0.055669599	0.001555651	0.00227308	0.002820583	0.00550267	Fancd2	Iron Metabolism	NEG
Cisd1	0.582600003	0.711305879	0.580383638	0.564276669	1.377139224	0.720254753	1.013618283	0.73508268	1.159269167	Cisd1	Iron Metabolism	NEG
Nfs1	0.169708324	0.167798107	0.175163454	0.175437135	0.234722475	0.195987825	0.293062116	0.19247511	0.284934521	Nfs1	Iron Metabolism	NEG
Slc7a11	0.008615715	0.008668366	0.014457411	0.020678667	0.004305893	0.003601833	0.006569379	0.004839881	0.013332947	Slc7a11	(Anti)oxidant Metabolism	NEG
Cbs	0.000903691	0	0	0.010172357	0.000415143	0.002725068	0	0	0.002560119	Cbs	(Anti)oxidant Metabolism	NEG
Nfe2l2	0.626041995	0.46241722	0.69762503	0.886686391	0.702757165	0.902777027	0.590867026	0.823265332	0.877668591	Nfe2l2	(Anti)oxidant Metabolism	NEG
Gclc	0.064272728	0.039786785	0.140047973	0.132914362	0.132958769	0.118530758	0.103914892	0.090404859	0.148166012	Gclc	(Anti)oxidant Metabolism	NEG
Keap1	0.31570048	0.338290621	0.355888293	0.309938843	0.442239624	0.297290564	0.416216778	0.289890135	0.291846061	Keap1	(Anti)oxidant Metabolism	NEG
Cd44	0.732953275	0.808044162	0.430534577	1.253006651	2.945072515	2.652088371	3.391849904	1.372129587	4.2296133	Cd44	(Anti)oxidant Metabolism	NEG
Gss	0.084481814	0.119724086	0.065771338	0.078545401	0.167722523	0.11918261	0.264280131	0.121691956	0.233175262	Gss	(Anti)oxidant Metabolism	NEG
Gpx4	3.951784824	3.618664217	5.017002565	4.797984458	6.50322233	5.455890425	5.321914699	5.550721115	7.484674367	Gpx4	Lipid Metabolism	NEG
Aifm2	0.094630552	0.057250556	0.070212058	0.093104536	0.088510842	0.084811176	0.141341238	0.123762347	0.163679718	Aifm2	Lipid Metabolism	NEG
Acsl3	0.34185246	0.210476722	0.223006375	0.177917947	0.266926387	0.441221642	0.238055597	0.190821033	0.085041015	Acsl3	Lipid Metabolism	NEG
