Symbol	Resistant	Sensitive	log2(fc)
Csf2	0.010422047	0.000674287	-3.950132824
Ccl5	0.201202558	0.019457024	-3.370285681
Il18r1	0.008964131	0.000963604	-3.217652234
Creb5	1.716586926	0.300621716	-2.513521782
Traf1	0.081755065	0.015028334	-2.443623039
Pik3r5	0.022190268	0.00522309	-2.086951687
Cxcl3	0.655924479	0.192975444	-1.765112439
Tnf	0.003197787	0	-1.677074007
Mapk13	0.028011072	0.009023049	-1.634310309
Cx3cl1	0.075890341	0.026057855	-1.542197946
Pik3cd	0.015120148	0.00521457	-1.535852145
Nfkb1	1.685462174	0.800849708	-1.073540822
Ccl2	16.04500673	7.661860681	-1.066357697
Cxcl1	21.26176579	10.21054623	-1.05820137
Il6	2.012749354	1.03379434	-0.961218317
Cxcl2	2.589034384	1.4597951	-0.826648242
Nfkbia	9.525221934	5.415209143	-0.814735649
Mapk11	0.025783413	0.014926302	-0.788586492
Map3k5	0.067771066	0.03997524	-0.761562769
Csf1	0.67187086	0.40651087	-0.72489003
Mapk12	0.070338712	0.043029649	-0.708987859
Lif	0.218623524	0.142128308	-0.62125472
Bcl3	0.324183723	0.211454754	-0.61646266
Icam1	0.320565126	0.492053136	0.618196633
Jun	15.86027421	24.41972278	0.622629109
Fas	0.3613188	0.569310357	0.655943025
Map3k14	0.06342858	0.105328451	0.731690239
Mmp14	3.579951466	6.216660317	0.796199722
Pik3r1	0.552252971	1.20511298	1.125767226
Ifi47	0.035279024	0.077138102	1.128633015
Creb3l4	0.007812787	0.019819886	1.343039502
Pik3r3	0.06407931	0.204074882	1.671168116
Mmp9	0.014173332	0.050040228	1.819909369
