GeneSet	Fib1	Fib2	Fib3	Fib4
TNFA_SIGNALING_VIA_NFKB	0.206041767	0.141773277	-0.310062164	0.042138192
HYPOXIA	-0.333389846	-0.029986864	0.291556733	-0.170665744
CHOLESTEROL_HOMEOSTASIS	-0.204608878	0.028140275	0.085455121	-0.364620504
WNT_BETA_CATENIN_SIGNALING	-0.1837813	-0.276108895	0.023663465	0.266720638
TGF_BETA_SIGNALING	-0.037104036	-0.45904767	0.108015814	0.03294132
DNA_REPAIR	-0.119296179	-0.308348777	0.034446583	-0.456866122
G2M_CHECKPOINT	-0.454020451	-0.432807462	-0.177382227	-0.022301918
APOPTOSIS	0.080040935	0.079789549	-0.205532183	-0.289765801
NOTCH_SIGNALING	-0.086963502	-0.170542793	-0.021932347	-0.012889756
APICAL_SURFACE	0.143054177	-0.034440298	-0.115738169	-0.253939159
HEDGEHOG_SIGNALING	0.042586452	-0.453357613	0.019898085	0.102449562
PI3K_AKT_MTOR_SIGNALING	-0.287109442	-0.053173618	0.052674506	-0.206384724
EPITHELIAL_MESENCHYMAL_TRANSITION	0.006682602	-0.347465863	0.44625784	-0.078769734
INFLAMMATORY_RESPONSE	0.021098488	0.328096765	-0.312483609	-0.217338392
XENOBIOTIC_METABOLISM	0.036324272	0.14425084	0.076067189	-0.359596789
FATTY_ACID_METABOLISM	-0.065351106	0.117172206	-0.111979096	-0.479261845
GLYCOLYSIS	-0.323383379	-0.102782471	0.298422269	-0.369659276
P53_PATHWAY	-0.155968923	-0.167573483	-0.061974797	-0.196035379
UV_RESPONSE_UP	-0.192992239	-0.236702438	0.062597013	-0.271071148
UV_RESPONSE_DN	-0.08190831	-0.435785431	-0.022766087	0.223635014
IL2_STAT5_SIGNALING	-0.092544224	0.102361897	-0.188543877	-0.322769687
KRAS_SIGNALING_UP	0.065665516	0.216954137	-0.277916595	-0.274012285
KRAS_SIGNALING_DN	-0.039390473	0.225151783	0.01597521	-0.081603291
